"R0000100","R0000600","R0006500","R0007900","R0173600","R0214700","R0214800","R0618500","R0648301","R0648343","R1207800","R2509800","T5256900","T5257400","T5344300","T5407500","T5619500","T5684500","T5734600","T5770700","T5770800","T5770900","T5771000","T5771200","T5774000"
110,21,-2,12,1,3,1,0,543,580,-4,1,1020,2,1,1,106000,183000,10,4,146000,0,1,1,1
111,19,11,10,5,3,2,0,441,524,-4,1,3650,3,2,1,50000,453000,10,3,220000,0,1,1,1
112,15,12,8,5,3,2,0,446,522,-4,-4,2540,-2,300,1,18000,277150,50,2,-2,-3,1,6,1
113,16,-2,-2,1,3,1,0,569,505,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
114,22,6,7,1,3,1,0,565,481,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
115,18,10,12,5,3,2,0,568,696,401,-5,4430,2,300,1,23000,293000,80,5,93000,0,1,1,1
116,15,10,12,5,3,2,0,525,566,506,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
117,19,10,12,1,3,1,0,617,684,925,8,3400,2,80,1,44000,-3,50,2,139200,0,1,1,0
118,17,-2,8,5,3,2,1,423,468,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
119,21,11,8,1,3,1,1,395,510,1002,1,2600,4,-4,1,0,-3,0,1,20000,0,1,0,1
120,17,16,12,1,3,1,1,750,667,2204,3,810,4,-4,1,100000,550000,25,1,100000,0,1,0,1
121,14,17,15,5,3,2,1,644,716,2202,3,5250,2,2000,1,60000,220450,30,2,80000,0,1,0,1
122,17,11,10,1,3,1,-3,516,535,-4,1,9420,2,50,0,75000,-3,95,2,175000,0,1,1,1
123,16,16,16,1,3,1,0,649,599,1905,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
124,18,14,14,5,3,2,-3,436,555,2001,2,-4,-4,-4,0,0,-50050,100,2,0,1,1,3,0
125,22,12,14,1,3,1,0,493,414,506,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
126,20,14,15,1,3,1,0,541,494,506,2,140,2,28,1,72000,596650,20,4,119000,0,1,1,1
127,19,12,12,1,3,1,0,438,499,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
128,20,10,12,5,3,2,0,542,585,-4,1,710,2,1,1,150000,279000,10,2,198000,0,1,1,1
129,18,13,14,1,3,1,0,642,575,2102,4,3720,1,12,1,135000,178100,10,1,135050,0,1,0,1
130,19,0,-2,6,3,2,-5,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
131,19,13,15,6,3,2,-5,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
132,19,-2,14,6,3,2,-5,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
133,16,10,11,5,3,2,0,506,519,2105,1,5010,2,200,1,20000,259000,0,3,60000,0,1,1,1
